date,result,position,prediction,scikit,tensorflow,pytorch
2024-01-25 21:04:33,LONG,LONG,LONG,SHORT,LONG
2024-01-25 22:17:14,LONG,LONG,LONG,LONG,LONG
2024-03-22 00:46:54,LONG,,,,
